id;text;verse_id;form_id
0100101302;עֶ֥רֶב;01001013;H6153-001
0100101303;וַֽיְהִי־;01001013;H1961-003
0100101304;בֹ֖קֶר;01001013;H1242-001
0100101305;י֥וֹם;01001013;H3117-001
0100101306;שְׁלִישִֽׁי׃;01001013;H7992-001
0100101307;פ;01001013;H????-001
0100101401;וַיֹּ֣אמֶר;01001014;H0559-001
0100101402;אֱלֹהִ֗ים;01001014;H0430-001
0100101403;יְהִ֤י;01001014;H1961-002
0100101404;מְאֹרֹת֙;01001014;H3974-001
0100101405;בִּרְקִ֣יעַ;01001014;H7549-004
0100101406;הַשָּׁמַ֔יִם;01001014;H8064-001
0100101407;לְהַבְדִּ֕יל;01001014;H0914-003
0100101408;בֵּ֥ין;01001014;H0996-001
0100101409;הַיּ֖וֹם;01001014;H3117-002
0100101410;וּבֵ֣ין;01001014;H0996-002
0100101411;הַלָּ֑יְלָה;01001014;H3915-002
0100101412;וְהָי֤וּ;01001014;H1961-005
0100101413;לְאֹתֹת֙;01001014;H0226-001
0100101414;וּלְמ֣וֹעֲדִ֔ים;01001014;H4150-001
0100101415;וּלְיָמִ֖ים;01001014;H3117-003
0100101416;וְשָׁנִֽים׃;01001014;H8141-001
0100101501;וְהָי֤וּ;01001015;H1961-005
0100101502;לִמְאוֹרֹת֙;01001015;H3974-002
0100101503;בִּרְקִ֣יעַ;01001015;H7549-004
0100101504;הַשָּׁמַ֔יִם;01001015;H8064-001
0100101505;לְהָאִ֖יר;01001015;H0215-001
0100101507;הָאָ֑רֶץ;01001015;H0776-001
0100101508;וַֽיְהִי־;01001015;H1961-003
0100101602;אֱלֹהִ֔ים;01001016;H0430-001
0100101603;אֶת־;01001016;H0853-001
0100101604;שְׁנֵ֥י;01001016;H8147-001
0100101605;הַמְּאֹרֹ֖ת;01001016;H3974-003
0100101607;אֶת־;01001016;H0853-001
0100101608;הַמָּא֤וֹר;01001016;H3974-004
0100101610;לְמֶמְשֶׁ֣לֶת;01001016;H4475-001
0100101611;הַיּ֔וֹם;01001016;H3117-002
0100101612;וְאֶת־;01001016;H0853-002
0100101613;הַמָּא֤וֹר;01001016;H3974-004
0100101615;לְמֶמְשֶׁ֣לֶת;01001016;H4475-001
0100101616;הַלַּ֔יְלָה;01001016;H3915-002
0100101617;וְאֵ֖ת;01001016;H0853-002
0100101005;וּלְמִקְוֵ֥ה;01001010;H4723c-001
0100101011;כִּי־;01001010;H3588a-005
0100101012;טֽוֹב׃;01001010;H2896a-003
0100101111;עֹ֤שֶׂה;01001011;H6213a-137
0100101114;אֲשֶׁ֥ר;01001011;H0834a-003
0100101117;עַל־;01001011;H5921a-006
0100101120;כֵֽן׃;01001011;H3651c-006
0100101209;עֹֽשֶׂה־;01001012;H6213a-137
0100101211;אֲשֶׁ֥ר;01001012;H0834a-003
0100101217;כִּי־;01001012;H3588a-005
0100101506;עַל־;01001015;H5921a-006
0100101509;כֵֽן׃;01001015;H3651c-006
0100101601;וַיַּ֣עַשׂ;01001016;H6213a-010
0100101606;הַגְּדֹלִ֑ים;01001016;H1419a-019
0100101609;הַגָּדֹל֙;01001016;H1419a-015
0100101614;הַקָּטֹן֙;01001016;H6996b-001
0100101618;הַכּוֹכָבִֽים׃;01001016;H3556-001
0100101701;וַיִּתֵּ֥ן;01001017;H5414-001
0100101702;אֹתָ֛ם;01001017;H0853-003
0100101703;אֱלֹהִ֖ים;01001017;H0430-001
0100101704;בִּרְקִ֣יעַ;01001017;H7549-004
0100101705;הַשָּׁמָ֑יִם;01001017;H8064-001
0100101706;לְהָאִ֖יר;01001017;H0215-001
0100101708;הָאָֽרֶץ׃;01001017;H0776-001
0100101801;וְלִמְשֹׁל֙;01001018;H4910-001
0100101802;בַּיּ֣וֹם;01001018;H3117-004
0100101803;וּבַלַּ֔יְלָה;01001018;H3915-003
0100101804;וּֽלֲהַבְדִּ֔יל;01001018;H0914-004
0100101805;בֵּ֥ין;01001018;H0996-001
0100101806;הָא֖וֹר;01001018;H0216-002
0100101807;וּבֵ֣ין;01001018;H0996-002
0100101808;הַחֹ֑שֶׁךְ;01001018;H2822-002
0100101809;וַיַּ֥רְא;01001018;H7200-001
0100101810;אֱלֹהִ֖ים;01001018;H0430-001
0100101901;וַֽיְהִי־;01001019;H1961-003
0100101902;עֶ֥רֶב;01001019;H6153-001
0100101903;וַֽיְהִי־;01001019;H1961-003
0100101904;בֹ֖קֶר;01001019;H1242-001
0100101905;י֥וֹם;01001019;H3117-001
0100101906;רְבִיעִֽי׃;01001019;H7243-001
0100101907;פ;01001019;H????-001
0100102001;וַיֹּ֣אמֶר;01001020;H0559-001
0100102002;אֱלֹהִ֔ים;01001020;H0430-001
0100102003;יִשְׁרְצ֣וּ;01001020;H8317-001
0100102004;הַמַּ֔יִם;01001020;H4325-001
0100102005;שֶׁ֖רֶץ;01001020;H8318-001
0100102006;נֶ֣פֶשׁ;01001020;H5315-001
0100102008;וְעוֹף֙;01001020;H5775-001
0100102011;הָאָ֔רֶץ;01001020;H0776-001
0100102013;פְּנֵ֖י;01001020;H6440-001
0100102014;רְקִ֥יעַ;01001020;H7549-005
0100102015;הַשָּׁמָֽיִם׃;01001020;H8064-001
0100102102;אֱלֹהִ֔ים;01001021;H0430-001
0100102103;אֶת־;01001021;H0853-001
0100102106;וְאֵ֣ת;01001021;H0853-002
0100102107;כָּל־;01001021;H3605-001
0100102108;נֶ֣פֶשׁ;01001021;H5315-001
0100102110;הָֽרֹמֶ֡שֶׂת;01001021;H7430-001
0100102112;שָׁרְצ֨וּ;01001021;H8317-002
0100102113;הַמַּ֜יִם;01001021;H4325-001
0100102114;לְמִֽינֵהֶ֗ם;01001021;H4327-002
0100102115;וְאֵ֨ת;01001021;H0853-002
0100102116;כָּל־;01001021;H3605-001
0100102117;ע֤וֹף;01001021;H5775-002
0100102118;כָּנָף֙;01001021;H3671-001
0100102119;לְמִינֵ֔הוּ;01001021;H4327-001
0100102120;וַיַּ֥רְא;01001021;H7200-001
0100102121;אֱלֹהִ֖ים;01001021;H0430-001
0100102201;וַיְבָ֧רֶךְ;01001022;H1288-001
0100102202;אֹתָ֛ם;01001022;H0853-003
0100102203;אֱלֹהִ֖ים;01001022;H0430-001
0100102204;לֵאמֹ֑ר;01001022;H0559-002
0100102205;פְּר֣וּ;01001022;H6509-001
0100102207;וּמִלְא֤וּ;01001022;H4390-001
0100102208;אֶת־;01001022;H0853-001
0100102209;הַמַּ֙יִם֙;01001022;H4325-001
0100102210;בַּיַּמִּ֔ים;01001022;H3220-002
0100102211;וְהָע֖וֹף;01001022;H5775-003
0100102213;בָּאָֽרֶץ׃;01001022;H0776-004
0100102301;וַֽיְהִי־;01001023;H1961-003
0100102302;עֶ֥רֶב;01001023;H6153-001
0100102303;וַֽיְהִי־;01001023;H1961-003
0100102304;בֹ֖קֶר;01001023;H1242-001
0100102305;י֥וֹם;01001023;H3117-001
0100102306;חֲמִישִֽׁי׃;01001023;H2549-001
0100102307;פ;01001023;H????-001
0100102401;וַיֹּ֣אמֶר;01001024;H0559-001
0100102402;אֱלֹהִ֗ים;01001024;H0430-001
0100102403;תּוֹצֵ֨א;01001024;H3318-002
0100102404;הָאָ֜רֶץ;01001024;H0776-001
0100102405;נֶ֤פֶשׁ;01001024;H5315-001
0100102407;לְמִינָ֔הּ;01001024;H4327-003
0100102408;בְּהֵמָ֥ה;01001024;H0929-001
0100102409;וָרֶ֛מֶשׂ;01001024;H7431-001
0100102411;אֶ֖רֶץ;01001024;H0776-003
0100102412;לְמִינָ֑הּ;01001024;H4327-003
0100102413;וַֽיְהִי־;01001024;H1961-003
5600100615;ἢ;56001006;G2228-001
0100101812;טֽוֹב׃;01001018;H2896a-003
0100102007;חַיָּ֑ה;01001020;H2416a-007
0100102009;יְעוֹפֵ֣ף;01001020;H5774a-011
0100102010;עַל־;01001020;H5921a-006
0100102012;עַל־;01001020;H5921a-006
0100102101;וַיִּבְרָ֣א;01001021;H1254a-028
0100102104;הַתַּנִּינִ֖ם;01001021;H8577b-005
0100102105;הַגְּדֹלִ֑ים;01001021;H1419a-019
0100102109;הַֽחַיָּ֣ה ׀;01001021;H2416a-012
0100102111;אֲשֶׁר֩;01001021;H0834a-003
0100102122;כִּי־;01001021;H3588a-005
0100102123;טֽוֹב׃;01001021;H2896a-003
0100102206;וּרְב֗וּ;01001022;H7235a-071
0100102212;יִ֥רֶב;01001022;H7235a-026
0100102406;חַיָּה֙;01001024;H2416a-007
0100102410;וְחַֽיְתוֹ־;01001024;H2416c-005
0100102414;כֵֽן׃;01001024;H3651c-006
0100102502;אֱלֹהִים֩;01001025;H0430-001
0100102503;אֶת־;01001025;H0853-001
0100102505;הָאָ֜רֶץ;01001025;H0776-001
0100102506;לְמִינָ֗הּ;01001025;H4327-003
0100102507;וְאֶת־;01001025;H0853-002
0100102508;הַבְּהֵמָה֙;01001025;H0929-002
0100102509;לְמִינָ֔הּ;01001025;H4327-003
0100102510;וְאֵ֛ת;01001025;H0853-002
0100102511;כָּל־;01001025;H3605-001
0100102512;רֶ֥מֶשׂ;01001025;H7431-002
0100102513;הָֽאֲדָמָ֖ה;01001025;H0127-001
0100102514;לְמִינֵ֑הוּ;01001025;H4327-001
0100102515;וַיַּ֥רְא;01001025;H7200-001
0100102516;אֱלֹהִ֖ים;01001025;H0430-001
0100102601;וַיֹּ֣אמֶר;01001026;H0559-001
0100102602;אֱלֹהִ֔ים;01001026;H0430-001
0100102604;אָדָ֛ם;01001026;H0120-001
0100102605;בְּצַלְמֵ֖נוּ;01001026;H6754-001
0100102606;כִּדְמוּתֵ֑נוּ;01001026;H1823-001
0100102608;בִדְגַ֨ת;01001026;H1710-001
0100102609;הַיָּ֜ם;01001026;H3220-003
0100102610;וּבְע֣וֹף;01001026;H5775-004
0100102611;הַשָּׁמַ֗יִם;01001026;H8064-001
0100102612;וּבַבְּהֵמָה֙;01001026;H0929-003
0100102613;וּבְכָל־;01001026;H3605-002
0100102614;הָאָ֔רֶץ;01001026;H0776-001
0100102615;וּבְכָל־;01001026;H3605-002
0100102616;הָרֶ֖מֶשׂ;01001026;H7431-003
0100102617;הָֽרֹמֵ֥שׂ;01001026;H7430-002
0100102619;הָאָֽרֶץ׃;01001026;H0776-001
0100102702;אֱלֹהִ֤ים ׀;01001027;H0430-001
0100102703;אֶת־;01001027;H0853-001
0100102704;הָֽאָדָם֙;01001027;H0120-002
0100102705;בְּצַלְמ֔וֹ;01001027;H6754-002
0100102706;בְּצֶ֥לֶם;01001027;H6754-003
0100102707;אֱלֹהִ֖ים;01001027;H0430-001
0100102709;אֹת֑וֹ;01001027;H0853-004
0100102710;זָכָ֥ר;01001027;H2145-001
0100102711;וּנְקֵבָ֖ה;01001027;H5347-001
0100102713;אֹתָֽם׃;01001027;H0853-003
0100102801;וַיְבָ֣רֶךְ;01001028;H1288-001
0100102802;אֹתָם֮;01001028;H0853-003
0100102803;אֱלֹהִים֒;01001028;H0430-001
0100102804;וַיֹּ֨אמֶר;01001028;H0559-001
0100102805;לָהֶ֜ם;01001028;H????-001
0100102806;אֱלֹהִ֗ים;01001028;H0430-001
0100102807;פְּר֥וּ;01001028;H6509-001
0100102809;וּמִלְא֥וּ;01001028;H4390-001
0100102810;אֶת־;01001028;H0853-001
0100102811;הָאָ֖רֶץ;01001028;H0776-001
0100102812;וְכִבְשֻׁ֑הָ;01001028;H3533-001
0100102814;בִּדְגַ֤ת;01001028;H1710-001
0100102815;הַיָּם֙;01001028;H3220-003
0100102816;וּבְע֣וֹף;01001028;H5775-004
0100102817;הַשָּׁמַ֔יִם;01001028;H8064-001
0100102818;וּבְכָל־;01001028;H3605-002
0100102820;הָֽרֹמֶ֥שֶׂת;01001028;H7430-001
0100102822;הָאָֽרֶץ׃;01001028;H0776-001
0100102901;וַיֹּ֣אמֶר;01001029;H0559-001
0100102902;אֱלֹהִ֗ים;01001029;H0430-001
0100102903;הִנֵּה֩;01001029;H2009-001
0100102904;נָתַ֨תִּי;01001029;H5414-002
0100102905;לָכֶ֜ם;01001029;H????-001
0100102906;אֶת־;01001029;H0853-001
0100102907;כָּל־;01001029;H3605-001
0100102908;עֵ֣שֶׂב ׀;01001029;H6212-001
0100102909;זֹרֵ֣עַ;01001029;H2232-002
0100102910;זֶ֗רַע;01001029;H2233-001
0100102913;פְּנֵ֣י;01001029;H6440-001
0100102914;כָל־;01001029;H3605-001
0100102915;הָאָ֔רֶץ;01001029;H0776-001
0100102916;וְאֶת־;01001029;H0853-002
0100102917;כָּל־;01001029;H3605-001
0100102918;הָעֵ֛ץ;01001029;H6086-003
0100102920;בּ֥וֹ;01001029;H????-001
0100102921;פְרִי־;01001029;H6529-002
0100102922;עֵ֖ץ;01001029;H6086-004
0100102923;זֹרֵ֣עַ;01001029;H2232-002
0100102924;זָ֑רַע;01001029;H2233-001
0100102925;לָכֶ֥ם;01001029;H????-001
0100102926;יִֽהְיֶ֖ה;01001029;H1961-006
0100102927;לְאָכְלָֽה׃;01001029;H0402-001
0100103001;וּֽלְכָל־;01001030;H3605-003
0100103003;הָ֠אָרֶץ;01001030;H0776-001
0100103004;וּלְכָל־;01001030;H3605-003
0100103005;ע֨וֹף;01001030;H5775-005
0100102517;כִּי־;01001025;H3588a-005
0100102518;טֽוֹב׃;01001025;H2896a-003
0100102603;נַֽעֲשֶׂ֥ה;01001026;H6213a-140
0100102607;וְיִרְדּוּ֩;01001026;H7287a-014
0100102618;עַל־;01001026;H5921a-006
0100102701;וַיִּבְרָ֨א;01001027;H1254a-028
0100102708;בָּרָ֣א;01001027;H1254a-006
0100102712;בָּרָ֥א;01001027;H1254a-006
0100102808;וּרְב֛וּ;01001028;H7235a-071
0100102819;חַיָּ֖ה;01001028;H2416a-004
0100102821;עַל־;01001028;H5921a-006
0100102911;אֲשֶׁר֙;01001029;H0834a-003
0100102912;עַל־;01001029;H5921a-006
0100102919;אֲשֶׁר־;01001029;H0834a-003
0100103002;חַיַּ֣ת;01001030;H2416c-022
0100103006;הַשָּׁמַ֜יִם;01001030;H8064-001
0100103007;וּלְכֹ֣ל ׀;01001030;H3605-003
0100103008;רוֹמֵ֣שׂ;01001030;H7430-003
0100103010;הָאָ֗רֶץ;01001030;H0776-001
0100103012;בּוֹ֙;01001030;H????-001
0100103013;נֶ֣פֶשׁ;01001030;H5315-001
0100103015;אֶת־;01001030;H0853-001
0100103016;כָּל־;01001030;H3605-001
0100103017;יֶ֥רֶק;01001030;H3418-001
0100103018;עֵ֖שֶׂב;01001030;H6212-001
0100103019;לְאָכְלָ֑ה;01001030;H0402-001
0100103020;וַֽיְהִי־;01001030;H1961-003
0100103101;וַיַּ֤רְא;01001031;H7200-001
0100103102;אֱלֹהִים֙;01001031;H0430-001
0100103103;אֶת־;01001031;H0853-001
0100103104;כָּל־;01001031;H3605-001
0100103107;וְהִנֵּה־;01001031;H2009-002
0100103109;מְאֹ֑ד;01001031;H3966-001
0100103110;וַֽיְהִי־;01001031;H1961-003
0100103111;עֶ֥רֶב;01001031;H6153-001
0100103112;וַֽיְהִי־;01001031;H1961-003
0100103113;בֹ֖קֶר;01001031;H1242-001
0100103114;י֥וֹם;01001031;H3117-005
0100103115;הַשִּׁשִּֽׁי׃;01001031;H8345-001
0100103116;פ;01001031;H????-001
0100200101;וַיְכֻלּ֛וּ;01002001;H3615-001
0100200102;הַשָּׁמַ֥יִם;01002001;H8064-001
0100200103;וְהָאָ֖רֶץ;01002001;H0776-002
0100200104;וְכָל־;01002001;H3605-004
0100200201;וַיְכַ֤ל;01002002;H3615-002
0100200202;אֱלֹהִים֙;01002002;H0430-001
0100200203;בַּיּ֣וֹם;01002002;H3117-004
0100200204;הַשְּׁבִיעִ֔י;01002002;H7637-001
0100200205;מְלַאכְתּ֖וֹ;01002002;H4399-001
0100200209;בַּיּ֣וֹם;01002002;H3117-004
0100200210;הַשְּׁבִיעִ֔י;01002002;H7637-001
0100200211;מִכָּל־;01002002;H3605-005
0100200212;מְלַאכְתּ֖וֹ;01002002;H4399-001
0100200301;וַיְבָ֤רֶךְ;01002003;H1288-001
0100200302;אֱלֹהִים֙;01002003;H0430-001
0100200303;אֶת־;01002003;H0853-001
0100200304;י֣וֹם;01002003;H3117-005
0100200305;הַשְּׁבִיעִ֔י;01002003;H7637-001
0100200306;וַיְקַדֵּ֖שׁ;01002003;H6942-001
0100200307;אֹת֑וֹ;01002003;H0853-004
0100200309;ב֤וֹ;01002003;H????-001
0100200311;מִכָּל־;01002003;H3605-005
0100200312;מְלַאכְתּ֔וֹ;01002003;H4399-001
0100200315;אֱלֹהִ֖ים;01002003;H0430-001
0100200317;פ;01002003;H????-001
0100200401;אֵ֣לֶּה;01002004;H0428-001
0100200402;תוֹלְד֧וֹת;01002004;H8435-001
0100200403;הַשָּׁמַ֛יִם;01002004;H8064-001
0100200404;וְהָאָ֖רֶץ;01002004;H0776-002
0100200406;בְּי֗וֹם;01002004;H3117-006
0100200408;יְהוָ֥ה;01002004;H3068-001
0100200409;אֱלֹהִ֖ים;01002004;H0430-001
0100200410;אֶ֥רֶץ;01002004;H0776-003
0100200411;וְשָׁמָֽיִם׃;01002004;H8064-003
0100200501;וְכֹ֣ל ׀;01002005;H3605-004
0100200502;שִׂ֣יחַ;01002005;H7880-001
0100200504;טֶ֚רֶם;01002005;H2962-001
0100200505;יִֽהְיֶ֣ה;01002005;H1961-006
0100200506;בָאָ֔רֶץ;01002005;H0776-004
0100200507;וְכָל־;01002005;H3605-004
0100200508;עֵ֥שֶׂב;01002005;H6212-002
0100200510;טֶ֣רֶם;01002005;H2962-001
0100200511;יִצְמָ֑ח;01002005;H6779-001
0100200513;לֹ֨א;01002005;H3808-001
0100200514;הִמְטִ֜יר;01002005;H4305-001
0100200515;יְהוָ֤ה;01002005;H3068-001
0100200516;אֱלֹהִים֙;01002005;H0430-001
0100200518;הָאָ֔רֶץ;01002005;H0776-001
0100200519;וְאָדָ֣ם;01002005;H0120-003
0100200520;אַ֔יִן;01002005;H0369-001
0100200521;לַֽעֲבֹ֖ד;01002005;H5647-001
0100200522;אֶת־;01002005;H0853-001
0100200523;הָֽאֲדָמָֽה׃;01002005;H0127-001
0100200601;וְאֵ֖ד;01002006;H0108-001
0100103011;אֲשֶׁר־;01001030;H0834a-003
0100103014;חַיָּ֔ה;01001030;H2416a-007
0100103021;כֵֽן׃;01001030;H3651c-006
0100103105;אֲשֶׁ֣ר;01001031;H0834a-003
0100103106;עָשָׂ֔ה;01001031;H6213a-125
0100103108;ט֖וֹב;01001031;H2896a-003
0100200206;אֲשֶׁ֣ר;01002002;H0834a-003
0100200207;עָשָׂ֑ה;01002002;H6213a-125
0100200208;וַיִּשְׁבֹּת֙;01002002;H7673a-022
0100200213;אֲשֶׁ֥ר;01002002;H0834a-003
0100200214;עָשָֽׂה׃;01002002;H6213a-125
0100200308;כִּ֣י;01002003;H3588a-005
0100200310;שָׁבַת֙;01002003;H7673a-018
0100200313;אֲשֶׁר־;01002003;H0834a-003
0100200314;בָּרָ֥א;01002003;H1254a-006
0100200316;לַעֲשֽׂוֹת׃;01002003;H6213a-068
0100200405;בְּהִבָּֽרְאָ֑ם;01002004;H1254a-004
0100200407;עֲשׂ֛וֹת;01002004;H6213a-130
0100200503;הַשָּׂדֶ֗ה;01002005;H7704b-007
0100200509;הַשָּׂדֶ֖ה;01002005;H7704b-007
0100200512;כִּי֩;01002005;H3588a-005
0100200517;עַל־;01002005;H5921a-006
0100200602;יַֽעֲלֶ֣ה;01002006;H5927-001
0100200604;הָאָ֑רֶץ;01002006;H0776-001
0100200605;וְהִשְׁקָ֖ה;01002006;H8248-001
0100200606;אֶֽת־;01002006;H0853-001
0100200607;כָּל־;01002006;H3605-001
0100200608;פְּנֵֽי־;01002006;H6440-002
0100200609;הָֽאֲדָמָֽה׃;01002006;H0127-001
0100200701;וַיִּיצֶר֩;01002007;H3335-001
0100200702;יְהוָ֨ה;01002007;H3068-001
0100200703;אֱלֹהִ֜ים;01002007;H0430-001
